bedrooms,bathroom,balcony,parking,power_backup,bldg_age,furnishing,transit_score,Cement,Tiles,Wooden,Dont know,East,North,South,West,Bangalore,Chennai,Delhi,Faridabad,Ghaziabad,Gurgaon,Hyderabad,Mumbai,Noida,Pune,area,price
4,16,10.0,3,2,5,1,-10.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.249561085129464,18.064005800013632
2,2,1.0,3,0,5,1,8.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.24422751560335,16.454567887579532
4,7,3.0,3,0,6,1,7.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,16.489659207390805
3,2,3.0,3,2,2,1,8.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.504391559161238,16.588099280204055
3,2,0.0,3,0,2,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,16.61887093887081
2,2,0.0,1,0,2,0,5.3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.857933154483459,14.151982794585487
3,2,2.0,3,0,2,1,7.9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.24422751560335,16.929025867174648
2,2,0.0,2,0,2,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,16.08763644347361
4,8,0.0,3,0,2,1,7.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.476371196895983,17.41282281855272
2,2,1.0,3,1,2,1,7.8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.116394144093465,15.687312734865866
3,3,3.0,2,2,4,1,8.4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.234898420314831,16.454567887579532
4,5,0.0,0,0,6,1,3.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.1886891244442,15.89495209964411
4,4,1.0,0,0,2,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.2078598714324755,15.520258650202699
4,10,4.0,1,1,3,0,3.9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.476371196895983,17.034386382832476
2,2,2.0,3,2,4,1,7.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.091742115095153,15.732433170146335
3,3,1.0,3,2,6,0,6.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.4798641311650265,16.831045458814444
2,2,2.0,2,0,3,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.047517221357296,15.687312734865866
